row_idx,subject,text,task_name,label,split,fold,held_out_subject,true_label_id,pred_label_id,true_label_name,pred_label_name,prob_NR,prob_TSR,pca1,pca2
0,YAC,"Henry Ford, with his son Edsel, founded the Ford Foundation in 1936 as a local philanthropic organization with a broad charter to promote human welfare.",NR,0,test,1,YAC,0,1,NR,TSR,0.04720366,0.9527964,12.163249,7.1234717
1,YAC,"After this initial success, Ford left Edison Illuminating and, with other investors, formed the Detroit Automobile Company.",NR,0,test,1,YAC,0,1,NR,TSR,0.03201879,0.96798116,11.491729,6.5181713
2,YAC,"With his interest in race cars, he formed a second company, the Henry Ford Company.",NR,0,test,1,YAC,0,1,NR,TSR,0.038540345,0.9614597,11.585986,6.9832487
3,YAC,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901.",NR,0,test,1,YAC,0,1,NR,TSR,0.028504068,0.9714959,11.42281,7.339834
4,YAC,"Ford was forced out of the company by the investors, including Henry M. Leland in 1902, and the company was reorganized as Cadillac.",NR,0,test,1,YAC,0,1,NR,TSR,0.028584566,0.9714154,11.545757,7.679954
5,YAC,"In 1891, Ford became an engineer with the Edison Illuminating Company, and after his promotion to Chief Engineer in 1893, he had enough time and money to devote attention to his personal experiments on internal combustion engines.",NR,0,test,1,YAC,0,1,NR,TSR,0.036355678,0.9636444,11.884565,7.8202996
6,YAC,"These experiments culminated in 1896 with the completion of his own self-propelled vehicle named the Quadricycle, which he test-drove on June 4 of that year.",NR,0,test,1,YAC,0,1,NR,TSR,0.040356558,0.9596434,12.120529,7.5834846
7,YAC,"Ford was born on a prosperous farm in Springwells Township (now in the city of Dearborn, Michigan) owned by his parents, William Ford (1826-1905) and Mary Litogot (c1839-1876), immigrants from County Cork, Ireland.",NR,0,test,1,YAC,0,1,NR,TSR,0.03790355,0.9620964,11.916053,8.303927
8,YAC,"In the years between the wars, Henry Ford supported Adolf Hitler's Nazi regime.",NR,0,test,1,YAC,0,1,NR,TSR,0.034145594,0.9658544,11.928127,7.5434036
9,YAC,There is also some evidence that Henry Ford gave Adolf Hitler direct financial backing when Hitler was first starting out in politics.,NR,0,test,1,YAC,0,1,NR,TSR,0.033084955,0.9669151,11.779078,7.938104
10,YAC,"This can in part be traced to statements from Kurt Ludecke, Germany's representative to the U.S. in the 1920s, and Winifred Wagner, daughter-in-law of Richard Wagner, who said they requested funds from Ford to aid the National Socialist movement in Germany.",NR,0,test,1,YAC,0,1,NR,TSR,0.035930198,0.96406984,12.473724,7.775197
