row_idx,subject_id,sentence_index,task_name,source_file,target_string,seq_len
0,YAC,0,task2-NR-2.0,resultsYAC_NR.mat,"Henry Ford, with his son Edsel, founded the Ford Foundation in 1936 as a local philanthropic organization with a broad charter to promote human welfare.",19
1,YAC,1,task2-NR-2.0,resultsYAC_NR.mat,"After this initial success, Ford left Edison Illuminating and, with other investors, formed the Detroit Automobile Company.",16
2,YAC,2,task2-NR-2.0,resultsYAC_NR.mat,"With his interest in race cars, he formed a second company, the Henry Ford Company.",12
3,YAC,3,task2-NR-2.0,resultsYAC_NR.mat,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901.",22
4,YAC,4,task2-NR-2.0,resultsYAC_NR.mat,"Ford was forced out of the company by the investors, including Henry M. Leland in 1902, and the company was reorganized as Cadillac.",19
5,YAC,5,task2-NR-2.0,resultsYAC_NR.mat,"In 1891, Ford became an engineer with the Edison Illuminating Company, and after his promotion to Chief Engineer in 1893, he had enough time and money to devote attention to his personal experiments on internal combustion engines.",27
6,YAC,6,task2-NR-2.0,resultsYAC_NR.mat,"These experiments culminated in 1896 with the completion of his own self-propelled vehicle named the Quadricycle, which he test-drove on June 4 of that year.",13
7,YAC,7,task2-NR-2.0,resultsYAC_NR.mat,"Ford was born on a prosperous farm in Springwells Township (now in the city of Dearborn, Michigan) owned by his parents, William Ford (1826-1905) and Mary Litogot (c1839-1876), immigrants from County Cork, Ireland.",21
8,YAC,8,task2-NR-2.0,resultsYAC_NR.mat,"In the years between the wars, Henry Ford supported Adolf Hitler's Nazi regime.",12
9,YAC,9,task2-NR-2.0,resultsYAC_NR.mat,There is also some evidence that Henry Ford gave Adolf Hitler direct financial backing when Hitler was first starting out in politics.,18
10,YAC,10,task2-NR-2.0,resultsYAC_NR.mat,"This can in part be traced to statements from Kurt Ludecke, Germany's representative to the U.S. in the 1920s, and Winifred Wagner, daughter-in-law of Richard Wagner, who said they requested funds from Ford to aid the National Socialist movement in Germany.",30
11,YAC,11,task2-NR-2.0,resultsYAC_NR.mat,"Although Ford is often credited with the idea, contemporary sources indicate that the concept and its development came from employees Clarence Avery, Peter E. Martin, Charles E. Sorensen, and C.H. Wills.",24
12,YAC,12,task2-NR-2.0,resultsYAC_NR.mat,Henry Ford advocated long-time associate Harry Bennett to take the spot.,11
13,YAC,13,task2-NR-2.0,resultsYAC_NR.mat,"Edsel's widow Eleanor, who had inherited Edsel's voting stock, wanted her son Henry Ford II to take over the position.",16
14,YAC,15,task2-NR-2.0,resultsYAC_NR.mat,"Alexander Rae Baldwin III (born April 3, 1958, in Massapequa, Long Island, New York, USA) is an American actor who is the oldest and best known of the ""Baldwin brothers"", with brothers Daniel, Stephen and William.",31
15,YAC,16,task2-NR-2.0,resultsYAC_NR.mat,He is of three quarters Irish and one quarter French descent.,10
16,YAC,17,task2-NR-2.0,resultsYAC_NR.mat,"Baldwin has appeared in movies such as The Cooler, The Hunt for Red October, Beetlejuice, Ghosts of Mississippi, Talk Radio, Final Fantasy: The Spirits Within (voice), The Cat in the Hat, Pearl Harbor, Thomas and the Magic Railroad, Along Came Polly, The SpongeBob SquarePants Movie, and The Aviator.",38
17,YAC,18,task2-NR-2.0,resultsYAC_NR.mat,"When Baldwin was young, he had a job as a busboy at famous New York City disco Studio 54.",15
18,YAC,19,task2-NR-2.0,resultsYAC_NR.mat,He was married to actress Kim Basinger from 1993 to 2002.,10
19,YAC,20,task2-NR-2.0,resultsYAC_NR.mat,"Baldwin, a liberal Democrat, has always had an active interest in politics and is frequently rumored to be a candidate for public office.",16
20,YAC,21,task2-NR-2.0,resultsYAC_NR.mat,"In particular, Baldwin is one of the most frequent hosts of Saturday Night Live, leading the show eleven times and also making cameo appearances regularly.",19
21,YAC,22,task2-NR-2.0,resultsYAC_NR.mat,He played William Barrett Travis in a movie about the Alamo called Thirteen Days of Glory.,12
22,YAC,23,task2-NR-2.0,resultsYAC_NR.mat,"In 1998, he began narrating the American version of the children's series Thomas the Tank Engine and Friends.",13
23,YAC,24,task2-NR-2.0,resultsYAC_NR.mat,"He is infamous for his 1994 appearance on Saturday Night Live as he potrays Mr. Armstrong, a scoutmaster who is a pedophile, he rips his shirt and puts his mouth around Adam Sandler's neck.",20
24,YAC,26,task2-NR-2.0,resultsYAC_NR.mat,"In 1954 she, along with Bing Crosby, Danny Kaye, and Vera-Ellen, starred in the movie White Christmas.",14
25,YAC,27,task2-NR-2.0,resultsYAC_NR.mat,"Clooney's first recordings, in May of 1946 were for Columbia Records as a singer with the big band of Tony Pastor.",16
26,YAC,28,task2-NR-2.0,resultsYAC_NR.mat,"Rosemary Clooney was married three times, twice to Jose Ferrer (from 1953 until 1961 and then again from 1964 to 1967) by whom she had five children, including actor Miguel Ferrer, born in 1955, and Gabriel Ferrer, born 1956, who married Debby Boone, and once to Dante DePaolo (whom she married in 1997).",39
27,YAC,29,task2-NR-2.0,resultsYAC_NR.mat,"Rosemary, Betty, and brother, Nick, as well as her nephew, George Clooney (Nick's son), all became entertainers.",14
28,YAC,30,task2-NR-2.0,resultsYAC_NR.mat,In 1945 the Clooney sisters won a spot on Cincinnati's radio station WLW as singers.,12
29,YAC,31,task2-NR-2.0,resultsYAC_NR.mat,"She was born in Maysville, Kentucky, about 60 miles up the Ohio River from Cincinnati, Ohio to Andrew Joseph Clooney and Frances Marie Guilfoyle, both of whom were of Irish descent (Rosemary's paternal great-grandparents, Nicholas Clooney and Bridget Byron, were born in Ireland), although Clooney's paternal grandmother, Crescentia Koch, was German.",37
30,YAC,32,task2-NR-2.0,resultsYAC_NR.mat,"In 1958, Clooney left Columbia, doing a number of recordings for MGM Records and then some for Coral Records.",13
31,YAC,33,task2-NR-2.0,resultsYAC_NR.mat,"Finally, toward the end of 1958, she signed with RCA Victor Records, where she stayed until 1963 except for doing some recordings in 1960 for Reprise Records.",20
32,YAC,34,task2-NR-2.0,resultsYAC_NR.mat,"In 1964 she went to Reprise again, shifting the next year to Dot Records.",11
33,YAC,35,task2-NR-2.0,resultsYAC_NR.mat,In 1966 she went to United Artists Records.,7
34,YAC,36,task2-NR-2.0,resultsYAC_NR.mat,"In 1986 she sang a duet with Wild Man Fischer on ""It's a Hard Business"".",7
35,YAC,38,task2-NR-2.0,resultsYAC_NR.mat,"On January 28, 2005 it was revealed that he accepted money from the George W. Bush administration to promote their marriage initiative program, which he did not disclose to his readers.",21
36,YAC,40,task2-NR-2.0,resultsYAC_NR.mat,"He is assumed to be the son of Richard Bush and Mary Fairbanks both of Dedham, Massachusetts.",7
37,YAC,41,task2-NR-2.0,resultsYAC_NR.mat,By training he was a blacksmith but when the American Revolution broke out militia Captain Bush led a company of soldiers for the Continental Army.,9
38,YAC,42,task2-NR-2.0,resultsYAC_NR.mat,"The family moved around 1810 to Springport, in Cayuga County in the Rochester, New York area.",13
39,YAC,43,task2-NR-2.0,resultsYAC_NR.mat,"He died in Springport, New York in 1815.",7
40,YAC,44,task2-NR-2.0,resultsYAC_NR.mat,"Through his son Timothy Bush, Jr., who was also a blacksmith, descended two American Presidents -George H. W. Bush and George W. Bush.",17
41,YAC,45,task2-NR-2.0,resultsYAC_NR.mat,Bush was a soldier in the French and Indian Wars and a Captain in the American Revolution and is the great-great-great-great-great grandfather of president George W. Bush.,16
42,YAC,46,task2-NR-2.0,resultsYAC_NR.mat,"They had five children after which they relocated to Norwich, Vermont where Bush was a Captain of a militia company.",15
43,YAC,48,task2-NR-2.0,resultsYAC_NR.mat,"Eventually, John Winthrop decided to take Hutchinson out of power before her influence became too strong among the community's men.",11
44,YAC,49,task2-NR-2.0,resultsYAC_NR.mat,After a two-day trial she was banished as a heretic in 1638 and led 60 followers to settle Aquidneck Island in what later became Rhode Island.,18
45,YAC,50,task2-NR-2.0,resultsYAC_NR.mat,"After many football insiders criticized Manning for being 0-3 in the playoffs, he won his first NFL playoff game against the Denver Broncos on January 4, 2004.",22
46,YAC,51,task2-NR-2.0,resultsYAC_NR.mat,Manning's Passer Rating in the Colts' playoff games against the Broncos and Kansas City Chiefs was a perfect 158.3.,17
47,YAC,52,task2-NR-2.0,resultsYAC_NR.mat,"He coached at Winston-Salem State University from 1946 to 1993, compiling a 828-447 record.",11
48,YAC,53,task2-NR-2.0,resultsYAC_NR.mat,He shared the honor with Tennessee Titans quarterback Steve McNair.,8
49,YAC,55,task2-NR-2.0,resultsYAC_NR.mat,"He put up even more impressive numbers in his last season (3,819 yards, 36 touchdowns) and finished second in Heisman Trophy voting to The University of Michigan's Charles Woodson, although he was unable to beat arch rival University of Florida for the fourth consecutive time.",35
50,YAC,56,task2-NR-2.0,resultsYAC_NR.mat,"His mother Jacqueline Kennedy was married to Greek shipping tycoon Aristotle Onassis from 1968 until Onassis's death in 1975, when John was 14 years old.",22
51,YAC,57,task2-NR-2.0,resultsYAC_NR.mat,"By most accounts, Aristotle Onassis did not play a particularly significant role in young John's life.",12
52,YAC,58,task2-NR-2.0,resultsYAC_NR.mat,He graduated in 1983 with a bachelor's degree in history.,8
53,YAC,59,task2-NR-2.0,resultsYAC_NR.mat,Taylor was born with dual British and American citizenship.,9
54,YAC,60,task2-NR-2.0,resultsYAC_NR.mat,"Christian VII (January 29, 1749–March 13, 1808), King of Denmark and Norway, Duke of Schleswig and Holstein.",13
55,YAC,61,task2-NR-2.0,resultsYAC_NR.mat,"He was the son of Frederick V, King of Denmark, and his first consort Louisa, daughter of George II of Great Britain.",16
56,YAC,62,task2-NR-2.0,resultsYAC_NR.mat,He ultimately sank into a condition of mental stupor.,5
57,YAC,63,task2-NR-2.0,resultsYAC_NR.mat,"Patti was born Adela Juana Maria Patti to Italian parents in Madrid, Spain.",12
58,YAC,64,task2-NR-2.0,resultsYAC_NR.mat,"Symptoms during this time included paranoia, self-mutilation and hallucinations.",8
59,YAC,65,task2-NR-2.0,resultsYAC_NR.mat,"He became submissive to upstart Johann Friedrich Struensee, who rose steadily in power in the late 1760s.",13
60,YAC,66,task2-NR-2.0,resultsYAC_NR.mat,The neglected and lonely Caroline Mathilde drifted into an affair with Struensee.,9
61,YAC,68,task2-NR-2.0,resultsYAC_NR.mat,Struensee was arrested and executed in that same year.,7
62,YAC,69,task2-NR-2.0,resultsYAC_NR.mat,"Christian signed Struensee's arrest warrant with indifference, and under pressure from his paternal grandmother, Sophie Magdalene of Brandenburg-Kulmbach, who had led the movement to have the marriage dissolved.",22
63,YAC,70,task2-NR-2.0,resultsYAC_NR.mat,"Caroline Mathilde, retaining her title but not her children, eventually left Denmark in exile and passed her remaining days in neighbouring Celle.",17
64,YAC,71,task2-NR-2.0,resultsYAC_NR.mat,"She died of cancer there on May 11, 1775.",8
65,YAC,73,task2-NR-2.0,resultsYAC_NR.mat,"Talia Shire (born April 25, 1946) is an American actress of Italian descent.",11
66,YAC,74,task2-NR-2.0,resultsYAC_NR.mat,"He appeared in 1953's Miss Sadie Thompson opposite Rita Hayworth, in 1954's The Caine Mutiny and the MGM musical Deep in My Heart.",20
67,YAC,75,task2-NR-2.0,resultsYAC_NR.mat,In 1955 Ferrer directed himself in The Shrike.,7
68,YAC,76,task2-NR-2.0,resultsYAC_NR.mat,"The Cockleshell Heroes followed a year later, along with The Great Man.",10
69,YAC,77,task2-NR-2.0,resultsYAC_NR.mat,In 1958 Ferrer appeared in I Accuse!,7
