row_idx,subject_id,sentence_index,task_name,source_file,target_string,seq_len
0,ZAB,0,task1-SR,resultsZAB_SR.mat,Presents a good case while failing to provide a reason for us to care beyond the very basic dictums of human decency.,22
1,ZAB,1,task1-SR,resultsZAB_SR.mat,"Beautifully crafted, engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic, twisty yarn that will keep them guessing.",22
2,ZAB,2,task1-SR,resultsZAB_SR.mat,"Bread, My Sweet has so many flaws it would be easy for critics to shred it.",16
3,ZAB,3,task1-SR,resultsZAB_SR.mat,"Slow, silly and unintentionally hilarious.",5
4,ZAB,4,task1-SR,resultsZAB_SR.mat,"Ultimately feels empty and unsatisfying, like swallowing a Communion wafer without the wine.",13
5,ZAB,5,task1-SR,resultsZAB_SR.mat,Exudes the fizz of a Busby Berkeley musical and the visceral excitement of a sports extravaganza.,16
6,ZAB,6,task1-SR,resultsZAB_SR.mat,The film rehashes several old themes and is capped with pointless extremes -- it's insanely violent and very graphic.,19
7,ZAB,7,task1-SR,resultsZAB_SR.mat,"Ryan Gosling is, in a word, brilliant as the conflicted Daniel.",11
8,ZAB,8,task1-SR,resultsZAB_SR.mat,"If Deuces Wild had been tweaked up a notch it would have become a camp adventure, one of those movies that's so bad it starts to become good.",28
9,ZAB,9,task1-SR,resultsZAB_SR.mat,The film's stagecrafts are intimate and therefore bolder than the otherwise calculated artifice that defines and overwhelms the film's production design.,21
10,ZAB,10,task1-SR,resultsZAB_SR.mat,"Frida is certainly no disaster, but neither is it the Kahlo movie Frida fans have been looking for.",18
11,ZAB,11,task1-SR,resultsZAB_SR.mat,The film often achieves a mesmerizing poetry.,7
12,ZAB,12,task1-SR,resultsZAB_SR.mat,A work of astonishing delicacy and force.,7
13,ZAB,13,task1-SR,resultsZAB_SR.mat,"The movie's plot is almost entirely witless and inane, carrying every gag two or three times beyond its limit to sustain a laugh.",23
14,ZAB,14,task1-SR,resultsZAB_SR.mat,"For the most part, the ingredients are there.",8
15,ZAB,15,task1-SR,resultsZAB_SR.mat,"But if you've paid a matinee price and bought a big tub of popcorn, there's guilty fun to be had here.",21
16,ZAB,16,task1-SR,resultsZAB_SR.mat,"There's not much to Fatale, outside of its stylish surprises... but that's OK.",13
17,ZAB,17,task1-SR,resultsZAB_SR.mat,"The acting is stiff, the story lacks all trace of wit, the sets look like they were borrowed from Gilligan's Island -- and the CGI Scooby might well be the worst special-effects creation of the year.",36
18,ZAB,18,task1-SR,resultsZAB_SR.mat,"This version moves beyond the original's nostalgia for the communal film experiences of yesteryear to a deeper realization of cinema's inability to stand in for true, lived experience.",28
19,ZAB,19,task1-SR,resultsZAB_SR.mat,"There's no palpable chemistry between Lopez and male lead Ralph Fiennes, plus the script by Working Girl scribe Kevin Wade is workmanlike in the extreme.",25
20,ZAB,20,task1-SR,resultsZAB_SR.mat,"A first-class, thoroughly involving B movie that effectively combines two surefire, beloved genres -- the prison flick and the fight film.",21
21,ZAB,21,task1-SR,resultsZAB_SR.mat,The film is so bad it doesn't improve upon the experience of staring at a blank screen.,17
22,ZAB,22,task1-SR,resultsZAB_SR.mat,Weiss and Speck never make a convincing case for the relevance of these two 20th-century footnotes.,16
23,ZAB,23,task1-SR,resultsZAB_SR.mat,Another Best of the Year selection.,6
24,ZAB,24,task1-SR,resultsZAB_SR.mat,It's all a rather shapeless good time...,7
25,ZAB,25,task1-SR,resultsZAB_SR.mat,"Same song, second verse, coulda been better, but it coulda been worse.",12
26,ZAB,26,task1-SR,resultsZAB_SR.mat,I love the robust middle of this picture.,8
27,ZAB,28,task1-SR,resultsZAB_SR.mat,The soundtrack alone is worth the price of admission.,9
28,ZAB,29,task1-SR,resultsZAB_SR.mat,Mostly Martha could have used a little trimming -- 10 or 15 minutes could be cut and no one would notice -- but it's a pleasurable trifle.,27
29,ZAB,30,task1-SR,resultsZAB_SR.mat,"For the rest of us, sitting through Dahmer's two hours amounts to little more than punishment.",16
30,ZAB,31,task1-SR,resultsZAB_SR.mat,"Featuring a dangerously seductive performance from the great Daniel Auteuil, ``Sade'' covers the same period as Kaufmann's ``Quills'' with more unsettlingly realistic results.",23
31,ZAB,32,task1-SR,resultsZAB_SR.mat,"The movie is for fans who can't stop loving anime, and the fanatical excess built into it.",17
32,ZAB,33,task1-SR,resultsZAB_SR.mat,"The Ring is worth a look, if you don't demand much more than a few cheap thrills from your Halloween entertainment.",21
33,ZAB,34,task1-SR,resultsZAB_SR.mat,"Beautifully observed, miraculously unsentimental comedy-drama.",5
34,ZAB,35,task1-SR,resultsZAB_SR.mat,"What makes How I Killed My Father compelling, besides its terrific performances, is Fontaine's willingness to wander into the dark areas of parent-child relationships without flinching.",26
35,ZAB,36,task1-SR,resultsZAB_SR.mat,"This hastily mounted production exists only to capitalize on Hopkins' inclination to play Hannibal Lecter again, even though Harris has no immediate inclination to provide a fourth book.",28
36,ZAB,37,task1-SR,resultsZAB_SR.mat,Bullock's complete lack of focus and ability quickly derails the film.,11
37,ZAB,38,task1-SR,resultsZAB_SR.mat,"... a plotline that's as lumpy as two-day old porridge... the filmmakers' paws, sad to say, were all over this ``un-bear-able'' project!",22
38,ZAB,39,task1-SR,resultsZAB_SR.mat,Crush could be the worst film a man has made about women since Valley of the Dolls.,17
39,ZAB,40,task1-SR,resultsZAB_SR.mat,"Reassuring, retro uplifter.",3
40,ZAB,41,task1-SR,resultsZAB_SR.mat,Flaccid drama and exasperatingly slow journey.,6
41,ZAB,42,task1-SR,resultsZAB_SR.mat,The Movie will reach far beyond its core demographic.,9
42,ZAB,43,task1-SR,resultsZAB_SR.mat,How did it ever get made?,6
43,ZAB,44,task1-SR,resultsZAB_SR.mat,I like the new footage and still love the old stuff.,11
44,ZAB,45,task1-SR,resultsZAB_SR.mat,"It briefly flirts with player masochism, but the point of real interest -- audience sadism -- is evaded completely.",19
45,ZAB,46,task1-SR,resultsZAB_SR.mat,Could The Country Bears really be as bad as its trailers?,11
46,ZAB,47,task1-SR,resultsZAB_SR.mat,"At times, the movie looks genuinely pretty.",7
47,ZAB,48,task1-SR,resultsZAB_SR.mat,It depends on how well flatulence gags fit into your holiday concept.,12
48,ZAB,49,task1-SR,resultsZAB_SR.mat,"The stupidest, most insulting movie of 2002's first quarter.",9
49,ZAB,50,task1-SR,resultsZAB_SR.mat,The film seems a dead weight.,6
50,ZAB,51,task1-SR,resultsZAB_SR.mat,"Sparkling, often hilarious romantic jealousy comedy... Attal looks so much like a young Robert DeNiro that it seems the film should instead be called `My Husband Is Travis Bickle'.",29
51,ZAB,52,task1-SR,resultsZAB_SR.mat,"I did go back and check out the last 10 minutes, but these were more repulsive than the first 30 or 40 minutes.",23
52,ZAB,53,task1-SR,resultsZAB_SR.mat,"A lousy movie that's not merely unwatchable, but also unlistenable.",10
53,ZAB,54,task1-SR,resultsZAB_SR.mat,One of the best films of the year with its exploration of the obstacles to happiness faced by five contemporary individuals... a psychological masterpiece.,24
54,ZAB,55,task1-SR,resultsZAB_SR.mat,"A strong script, powerful direction and splendid production design allows us to be transported into the life of Wladyslaw Szpilman, who is not only a pianist, but a good human being.",31
55,ZAB,56,task1-SR,resultsZAB_SR.mat,"But here's the real damn: It isn't funny, either.",9
56,ZAB,57,task1-SR,resultsZAB_SR.mat,"Qutting may be a flawed film, but it is nothing if not sincere.",13
57,ZAB,58,task1-SR,resultsZAB_SR.mat,It's a fanboy `what if?',5
58,ZAB,59,task1-SR,resultsZAB_SR.mat,... something appears to have been lost in the translation this time.,12
59,ZAB,60,task1-SR,resultsZAB_SR.mat,"Like a documentary version of Fight Club, shorn of social insight, intellectual pretension and cinematic interest.",16
60,ZAB,61,task1-SR,resultsZAB_SR.mat,"Stephen Rea, Aidan Quinn, and Alan Bates play Desmond's legal eagles, and when joined by Brosnan, the sight of this grandiloquent quartet lolling in pretty Irish settings is a pleasant enough thing, `tis.",33
61,ZAB,62,task1-SR,resultsZAB_SR.mat,"It's a powerful though flawed movie, guaranteed to put a lump in your throat while reaffirming Washington as possibly the best actor working in movies today.",26
62,ZAB,63,task1-SR,resultsZAB_SR.mat,An intriguing and entertaining introduction to Johnson.,7
63,ZAB,64,task1-SR,resultsZAB_SR.mat,Everything was as superficial as the forced New Jersey lowbrow accent Uma had.,13
64,ZAB,65,task1-SR,resultsZAB_SR.mat,"Despite the holes in the story and the somewhat predictable plot, moments of the movie caused me to jump in my chair...",22
65,ZAB,66,task1-SR,resultsZAB_SR.mat,`How many more voyages can this limping but dearly-loved franchise survive?',11
66,ZAB,67,task1-SR,resultsZAB_SR.mat,If only the story about a multi-million dollar con bothered to include the con.,14
67,ZAB,68,task1-SR,resultsZAB_SR.mat,"It is supremely unfunny and unentertaining to watch middle-age and older men drink to excess, piss on trees, b.s. one another and put on a show in drag.",28
68,ZAB,70,task1-SR,resultsZAB_SR.mat,"Showtime is one of the hapless victims of the arrogant ``if we put together a wry white man and a chatty black man and give them guns, the movie will be funny'' syndrome.",33
69,ZAB,71,task1-SR,resultsZAB_SR.mat,"Whatever heartwarming scene the impressively discreet filmmakers may have expected to record with their mini DV, they show a remarkable ability to document both sides of this emotional car-wreck.",29
70,ZAB,72,task1-SR,resultsZAB_SR.mat,"A zombie movie in every sense of the word -- mindless, lifeless, meandering, loud, painful, obnoxious.",16
71,ZAB,73,task1-SR,resultsZAB_SR.mat,"It has fun with the quirks of family life, but it also treats the subject with fondness and respect.",19
72,ZAB,74,task1-SR,resultsZAB_SR.mat,"Novak manages to capture a cruelly hilarious vein of black comedy in the situation with his cast of non-actors and a gritty, no-budget approach.",24
73,ZAB,75,task1-SR,resultsZAB_SR.mat,"Since Lee is a sentimentalist, the film is more worshipful than your random E!",14
74,ZAB,76,task1-SR,resultsZAB_SR.mat,"The movie is almost completely lacking in suspense, surprise and consistent emotional conviction.",13
75,ZAB,77,task1-SR,resultsZAB_SR.mat,"High Crimes knows the mistakes that bad movies make and is determined not to make them, and maybe that is nobility of a sort.",24
76,ZAB,78,task1-SR,resultsZAB_SR.mat,But it's too long and too convoluted and it ends in a muddle.,13
77,ZAB,79,task1-SR,resultsZAB_SR.mat,This thing works on no level whatsoever for me.,9
78,ZAB,80,task1-SR,resultsZAB_SR.mat,... a bland murder-on-campus yawner.,5
79,ZAB,81,task1-SR,resultsZAB_SR.mat,In comparison to his earlier films it seems a disappointingly thin slice of lower-class London life; despite the title... amounts to surprisingly little.,23
80,ZAB,82,task1-SR,resultsZAB_SR.mat,"One of the finest, most humane and important Holocaust movies ever made.",12
81,ZAB,83,task1-SR,resultsZAB_SR.mat,"Suffers from rambling, repetitive dialogue and the visual drabness endemic to digital video.",13
82,ZAB,84,task1-SR,resultsZAB_SR.mat,"The twist that ends the movie is the one with the most emotional resonance, but twists are getting irritating, and this is the kind of material where the filmmakers should be very careful about raising eyebrows.",36
83,ZAB,85,task1-SR,resultsZAB_SR.mat,"Angel presents events partly from the perspective of Aurelie and Christelle, and infuses the film with the sensibility of a particularly nightmarish fairytale.",23
84,ZAB,86,task1-SR,resultsZAB_SR.mat,Features one of the most affecting depictions of a love affair ever committed to film.,15
85,ZAB,87,task1-SR,resultsZAB_SR.mat,It is intensely personal and yet -- unlike Quills -- deftly shows us the temper of the times.,18
